nombre,direccion,edad,curp,ine_clave,seccion_id,confidence_score,apellido_paterno,apellido_materno,telefono,calle,colonia,municipio,cp
"Antonia Gutiérrez Valenzuela Cordero Galarza","Paseo Gabriela, 5 Puerta 746","42","CCKZWGPOZW8PTKPJS3","BZM2PGFSOHQH59PNS5","534","1","Gutiérrez Valenzuela","Cordero Galarza","532 003 000","Torrente Evelyn Almaraz","Pasaje Raúl Perales, 4","Querétaro","97605"
"Luis Sauceda Carrillo Amaya Huerta","Riera Uriel Esparza 4 Edificio 7","24","8KPJ0LQPLYM5VWRLHN","JUHE51JDIOCTQLXHCF","543","1","Sauceda Carrillo","Amaya Huerta","5764-941-800","Aldea Francisca Domínquez","Muelle Balcón de los edecanes 38","Querétaro","95150"
"Diana Pantoja Jimínez Olivares Bustamante","Ferrocarril Cedro 5 Esc. 623","48","9JNSMP4NMAEPFSRYEF","NSGDEEIAMULM1R7HSS","534","1","Pantoja Jimínez","Olivares Bustamante","566 910 101","Paseo Balcón de los edecanes","Barranco 20 de Noviembre s/n.","Querétaro","89213"
"Daniel Torres Pabón Aparicio Villegas","Entrada Jorge 312 Puerta 566","80","ZKDPGIE1SOA740KC9S","EGOXGGGXFJ2EIVN1T7","537","1","Torres Pabón","Aparicio Villegas","577249586","Ferrocarril Andrés Brito","Glorieta Jicolapa 4","Querétaro","95517"
"Leticia Loera Posada Monroy Serna","Muelle Ángel Gabriel Díaz s/n. Edificio 4","66","JDFY1SMF1K72SNYZQM","GK1W5T9IZVUSU03EMN","507","1","Loera Posada","Monroy Serna","5730-595-367","Lugar Benjamín","Terrenos Josefina 9595","Querétaro","42960"
"Luis Gabino Casas Venegas Merino Quintanilla","Aldea Calimaya s/n. Edificio 9","69","DZWPY8FGFJEYSY5SH0","TIQSLSM2DWGBC2NQ9Z","510","1","Casas Venegas","Merino Quintanilla","5813-290-325","Sector Naranjo","Ferrocarril Emmanuel 2","Querétaro","80720"
"Gael Palomino Cepeda Cerda Pelayo","Manzana Zapata s/n. Puerta 739","61","YLUJU3WDU6KSSUCRT6","LC8IB61STBU1BLPN8R","534","1","Palomino Cepeda","Cerda Pelayo","593.289.553","Aldea Ximena Guadalupe Gamboa","Poblado Miranda Escalante 1598","Querétaro","99670"
"Martín Vera Maldonado Montaño Garica","Lugar Juárez 4573 Edificio 5","32","RFGNNBMRX6DHYS1NIB","UI6ZD5ECOEFSFBRTOZ","535","1","Vera Maldonado","Montaño Garica","545 628 431","Plaza Calimaya","Puente Abril Araña 6","Querétaro","82136"
"Paulina Angulo Alanis Atencio de Nazario","Entrada David Abeyta 8 Edificio 1","50","0PRIIPPGEP8SLTUNDO","NU3F1VNRA4XGWWIEBH","546","1","Angulo Alanis","Atencio de Nazario","535332566","Pasaje Julia Leyva","Pasaje La otra banda 2","Querétaro","24743"
"Luisa Cardona de Soto Karen Espinoza","Masía Avena 3696 Puerta 795","81","73MO9JSYZSTMQ25VOD","HMNN3M4P3DNTK1WEDH","545","1","Cardona de Soto","Karen Espinoza","583.790.260","Mercado Balcón de los edecanes","Huerta Daniel Curiel, 4","Querétaro","15286"
"Mariano Deleón Bermúdez Kadar rodriguez Cornejo","Ronda Repúplica de Chile 970 Puerta 106","18","W9CVW60DEFDQOWRIMM","CIK7LFXHEYAJYKTN4Y","511","1","Deleón Bermúdez","Kadar rodriguez Cornejo","599.026.660","Conjunto Eje Central","Aldea Ivanna 44","Querétaro","49471"
"Alfonso Ortiz Deleón Madera Bueno","Subida María del Carmen Crespo, 43 Esc. 116","81","IU2I8TYGR97LLCP1NE","Q6ZHYZV9H3854ADVKV","522","1","Ortiz Deleón","Madera Bueno","594 733 814","Ronda Repúplica de Uruguay","Lado Patricia Xacon 543","Querétaro","61462"
"María José Hernádez Carrera Nieto Galindo","Prolongación Monserrat s/n. Puerta 474","76","JBFAIXUUTPMAJLJLBZ","XWRPXFG7CLDXFDOATN","547","1","Hernádez Carrera","Nieto Galindo","5120-069-055","Masía Manzanares","Extramuros Ángela 14","Querétaro","19137"
"Gloria Quesada de Echevarría Amaya Luevano","Torrente Carolina, 43 Puerta 264","19","MXRM2BQBB5WUJKGTHP","UPWV02KLR0IBYUN7IT","525","1","Quesada de Echevarría","Amaya Luevano","556302879","Poblado Kevin Serrato","Rua 20 de Noviembre, 5","Querétaro","56278"
"Isabela Romo Collazo Karan Ávalos","Urbanización Cinco de Mayo 7401 Puerta 796","68","DETZIG0DQEIMYU4P4J","DP6ARHSHQZQ9OG5CDA","522","1","Romo Collazo","Karan Ávalos","507.700.010","Subida Damián Flórez","Camino Sonia, 4","Querétaro","45759"
"Ignacio Hernandes Ulloa Sotelo Quintero de la cruz","Plaza Miguel Ángel de Quevedo, 5 Puerta 730","34","HELJCZ1JLUCQNRL610","LMG3E8F5PXCM1VC4QC","517","1","Hernandes Ulloa","Sotelo Quintero de la cruz","578.814.170","Jardines Eduardo Valenzuela","Senda Repúplica de Chile, 3","Querétaro","58314"
"Manuela Portillo de Badillo Chapa Garibay","Riera Repúplica de Uruguay s/n. Esc. 309","85","XYJLVPANZO8QKB3I4K","AJEQM6HOJKHPHBVGL1","518","1","Portillo de Badillo","Chapa Garibay","541.002.073","Manzana Zacatlán","Grupo Alicia Rivas s/n.","Querétaro","14730"
"Lorena Aponte Rangel Granado Ulibarri","Sección Yolanda 54 Puerta 750","83","ZBGITTW7ENN7FDOPTX","Q29VNPR9KOEUFRC8OF","538","1","Aponte Rangel","Granado Ulibarri","5858-356-224","Ramal Valentina Hernádez","Subida Balcón de los edecanes 8","Querétaro","33125"
"María del Carmen Viera de Colón Lomeli de Ulloa","Bajada Yaretzi 815 Puerta 915","23","HJDAKQCOKEBUBLA5AD","KZTLFZ2JDK6KOJIMYW","521","1","Viera de Colón","Lomeli de Ulloa","562.530.444","Sector Andrés Ybarra","Arrabal Batalla de Naco 18","Querétaro","96889"
"Gabriela Angulo Rangel Guillen Oquendo","Conjunto Fernando Javier s/n. Edificio 6","68","5D0D04XYSZLVBERBYV","P1GAXFFUY9NRJDARJI","502","1","Angulo Rangel","Guillen Oquendo","535.873.790","Extrarradio Mateo","Cuesta Luis Ángel Lucero 14","Querétaro","77377"
"Iker Carrera Salinas Sanabria Luevano","Sección Miguel Ángel de Quevedo 3666 Edificio 6","81","8MUOCHRW40OLGRVDDS","ZX229DQMOD3YVVGSS7","549","1","Carrera Salinas","Sanabria Luevano","5110-668-153","Calleja Eva Rolón","Torrente Alicia 7856","Querétaro","18304"
"Marcos Águilar Castellanos Pabón Santacruz","Vía Pública Luis Ángel s/n. Puerta 303","20","JBIILMLWQMXYJELGFA","SUAT6LNEWG38YJ8G8B","511","1","Águilar Castellanos","Pabón Santacruz","520 427 655","Chalet Cuahutemoc","Explanada Isabel Santacruz, 6","Querétaro","30328"
"Reina Kanimal Olvera Anaya de Jimínez","Lugar Javier 12 Puerta 332","54","FQNRWXHPZHOIUKEJYF","W7CCSEZODFXPRDDXBQ","528","1","Kanimal Olvera","Anaya de Jimínez","576 414 659","Avenida Monserrat","Sector Bernardo Griego, 8","Querétaro","49607"
"Josefina Serrano Benítez Krauel natera Alcántar","Bloque Dulce María 2 Esc. 791","25","XLQAUHFPKBPLI8CISX","LFHBU8FNYATW83RZNK","540","1","Serrano Benítez","Krauel natera Alcántar","523 384 614","Mercado Jazmin","Chalet Emily 28","Querétaro","47860"
"Fatima Blanco León Kamat Morales","Edificio Zoe 5724 Edificio 8","56","VHCPW2ITPBEZRJ6DEB","6VJQ4N0LR5Z4NQY7XO","537","1","Blanco León","Kamat Morales","5520-523-867","Rincón Eje 6","Glorieta Patricio Lugo s/n.","Querétaro","73176"
"Andrés Quintana Garay Tirado Ortega","Extramuros Manzanares, 46 Puerta 800","85","10NPUYYXJMGSVDFZFG","WKWEWRS6OTKWSBAC6I","545","1","Quintana Garay","Tirado Ortega","593.371.289","Colonia Sofia","Manzana Luis Ángel s/n.","Querétaro","97770"
"Vanessa Carmona Tovar Sisneros de Vásquez","Parque Repúplica de Argentina s/n. Esc. 833","20","NNSDTMZ4TBIMRJDPDL","JAWLYOMQBZ85M1AULU","518","1","Carmona Tovar","Sisneros de Vásquez","507 208 367","Parcela Elsa","Poblado Batalla de Naco 867","Querétaro","56392"
"Salvador Camarillo Villareal Cepeda Zarate","Extramuros Hugo 6 Edificio 1","35","N6EPNLFRBHD9AG7MU5","NDMCU2BXES4EOBHREH","524","1","Camarillo Villareal","Cepeda Zarate","5526-472-845","Torrente Lucia","Rambla Ana María 6","Querétaro","33702"
"Jazmin Arroyo Batista Ulloa Tapia","Extrarradio Zapata 556 Edificio 2","26","BR0DDMNSIEOTYMFFDW","ZMHYBCKQCX8NRXMY60","536","1","Arroyo Batista","Ulloa Tapia","527 131 027","Polígono Barrio la Lonja","Aldea María Fernanda Jiménez, 24","Querétaro","59028"
"Fernando Barela Miramontes Alfaro Bañuelos","Puerta Eje 5 265 Esc. 681","69","1I5HRMZMNIPOVGQ1GJ","C9RCDPEEODNFKSPTH3","528","1","Barela Miramontes","Alfaro Bañuelos","537 068 213","Poblado Dulce María Zayas","Polígono Tomás 65","Querétaro","86928"
"Adriana Valles de Echevarría Cintrón Espinosa","Bajada Cinco de Mayo, 6 Esc. 406","75","HZTONTQTKEVRHL4GXG","QNHPV6OMBHHQDFHPSB","503","1","Valles de Echevarría","Cintrón Espinosa","535 942 459","Monte Repúplica de Cuba","Ronda Jaime Urbina 313","Querétaro","80465"
"Elena Quintanilla Bustamante Treviño Zapata","Camino Norma, 63 Puerta 120","86","VJCRSHBELMKCDHYR61","FBZFGDZRZX2S6GZ809","542","1","Quintanilla Bustamante","Treviño Zapata","567534492","Apartamento Alfredo Velásquez","Carretera Jimena Karen 37","Querétaro","18501"
"Clara Ceja Henríquez Casárez Montez","Extrarradio Jicolapa 8771 Puerta 808","83","2W1TICPZJX6MVLAI24","CCGA1YYVFLYM0OK2KC","515","1","Ceja Henríquez","Casárez Montez","571 286 282","Escalinata Miguel Ángel Ledesma","Rambla Ana, 21","Querétaro","67586"
"Renata Arce Quintairos Vanegas Vigil","Poblado Amalia Garza 866 Edificio 6","65","A6RV6TV49CHLEE1MVT","QQNCUX4EGCRWZQL15G","546","1","Arce Quintairos","Vanegas Vigil","569 521 850","Carretera María Elena Velásquez","Prolongación Renata 9640","Querétaro","69741"
"Yamileth Gamboa Alaniz Serna Ojeda","Huerta Virginia, 32 Puerta 473","82","JMREWPUQRKS26GILLJ","ZIPWX7HLC8ZFJG1EBS","505","1","Gamboa Alaniz","Serna Ojeda","575.093.153","Extramuros Eje 6","Jardines Rocio Adame 9","Querétaro","93017"
"Benjamín Aragón Montalvo Laureano de Gamboa","Masía Catalina s/n. Esc. 224","46","1KODWSSUHCDGFCZZ2P","RIQEDE23XR6GJQGHBS","524","1","Aragón Montalvo","Laureano de Gamboa","583 931 826","Caserio La otra banda","Rampa Blanca Terán s/n.","Querétaro","67213"
"Leonardo Sepúlveda de Gálvez Cardona Robles","Solar Emilio Medrano 432 Puerta 590","34","IK9PKGL10TKR76A3HB","3EP2PWLNAL0ID9TIMP","512","1","Sepúlveda de Gálvez","Cardona Robles","5859-304-361","Glorieta Alexander","Vía Elena Salcedo, 35","Querétaro","24985"
"Eva Laboy Lebrón Alcala Jurado","Rampa Repúplica de Argentina 5 Puerta 387","71","DQIYIWYUDOXMF3IHOU","CIUAAYAMKZAIMOMIG3","524","1","Laboy Lebrón","Alcala Jurado","557 387 386","Calleja Cedro","Bajada Alondra Romina 632","Querétaro","16207"
"Manuel Amador Carrasco Rivas de Adorno","Solar David Cornejo, 97 Puerta 103","44","JQKKTB7Q3BCIULLMEA","ONSVXKXSTBDRD8KTJM","507","1","Amador Carrasco","Rivas de Adorno","5106-440-840","Mercado Ramiro","Arrabal Andrea s/n.","Querétaro","12745"
"Débora Matos Delvalle Tirado Serrano","Torrente Andrés Robledo, 7 Esc. 797","73","EKH651DMJVCVFGKEBU","LQHMM64ZC3UFEUOIBX","523","1","Matos Delvalle","Tirado Serrano","5935-471-401","Parcela Avena","Rampa Yolanda Pantoja 8","Querétaro","00874"
"Rosa Chávez Romo Grijalva Carmona","Terrenos María Elena s/n. Esc. 703","69","S0AHNPD5WUZ6QLY2HJ","OX3LWEZBT12GIJKQ94","541","1","Chávez Romo","Grijalva Carmona","5339-574-856","Chalet Jicolapa","Barrio Eje 6 127","Querétaro","78204"
"Horacio Quiros Palacios Baeza de Amaya","Senda La viga 766 Esc. 505","69","GLESRYIHL4BU98BWAA","TWLZHTOISOUJXRGNI6","517","1","Quiros Palacios","Baeza de Amaya","5157-598-771","Subida Adán Gamboa","Escalinata Batalla de Naco s/n.","Querétaro","35892"
"Diana Escobar Ontiveros Barragán de Kuzmina","Apartamento Ximena Guadalupe Gastélum 4 Puerta 866","84","RRQLB8RRHMNHOCSULL","OCDTIS6ZBAH3HILECA","505","1","Escobar Ontiveros","Barragán de Kuzmina","565.389.935","Bloque Miguel","Bloque Mayte Tórrez 811","Querétaro","07459"
"Ernesto Herrera Duarte Alaniz Mercado","Entrada José María Prado, 8 Edificio 3","39","SQLXHJFMCIZIVI7XZ8","RTHY1Z20ZVCCG5UJP8","541","1","Herrera Duarte","Alaniz Mercado","514825944","Parque Naranjo","Terrenos Polotitlan s/n.","Querétaro","31648"
"Damián Delgadillo Riojas Alvarez Cintrón","Colonia Avena 2 Edificio 8","18","4WESO7AJUX3CB9YOMG","RRJRAHSJKH8BLQFNCS","504","1","Delgadillo Riojas","Alvarez Cintrón","5759-625-265","Calle Vanessa Karam","Extrarradio Saúl Tijerina 1058","Querétaro","95407"
"Renata Orozco Altamirano Kyra Peña","Partida Abigail Garza, 54 Esc. 520","27","AVXWXR76RHH67Y6OJZ","CBELAALIX0QG1OGC6P","540","1","Orozco Altamirano","Kyra Peña","599 407 212","Riera Eje Central","Vía Barrio la Lonja 196","Querétaro","01790"
"Benjamín Rocha Guerrero Gil Badillo","Vía Pública San Miguel 113 Puerta 697","81","WHHWU9I7F6ACETFJ0M","WHBUKDBCVI5XYXLEEM","542","1","Rocha Guerrero","Gil Badillo","580.416.513","Grupo Gerardo Campos","Entrada Araceli 203","Querétaro","10224"
"José Miguel Toro Tamayo Véliz Vera","Mercado Elena Molina 6290 Puerta 313","31","ZA8XKCXI03SPND9EK5","GQKDDL1FFHLHBOE2OJ","543","1","Toro Tamayo","Véliz Vera","572.555.457","Aldea Cristina","Barranco Barrio la Lonja s/n.","Querétaro","78796"
"Débora Arguello Bernal Mesa de Rosario","Extrarradio Raúl, 92 Edificio 8","77","EZ7DYG2XQ5BPFYDU5Z","FIB0S66C5XXEHEFENS","514","1","Arguello Bernal","Mesa de Rosario","511 895 854","Puente Avena","Apartamento Magdalena s/n.","Querétaro","78718"
"Rodrigo Téllez Cruz Jiménez Alonzo","Prolongación Berta 59 Esc. 520","63","RRZ1P9COYLO7JRXCNX","7WC1VNZ2LYU6APRS4M","504","1","Téllez Cruz","Jiménez Alonzo","564.550.410","Escalinata Carolina Korta hernandez","Quinta Germán 6","Querétaro","07823"
"Jorge Luis Villegas de Alcaraz Prado Portillo","Calle Donceles 204 Edificio 6","33","CIDA9XDW4XOMZKKDTP","GYILXZ4XBOHNNMQTMA","543","1","Villegas de Alcaraz","Prado Portillo","573908728","Aldea Alfredo Medrano","Aldea Pedro 28","Querétaro","60526"
"Rafael Ozuna Alcaraz Collado Guajardo","Huerta Brayan, 2 Puerta 413","73","HPQ44CHJVAKWYIRODT","CQAJKCKROUYG60XDDU","511","1","Ozuna Alcaraz","Collado Guajardo","518 573 648","Lado Repúplica de Argentina","Escalinata Timoteo Delgado, 78","Querétaro","27140"
"María Elena Guillen Abrego Abreu Valencia","Camino Manzanares, 28 Puerta 804","77","Z2625QX6Y7GO8ZVYX4","QHA6MBWSCJ2BSPL3CO","533","1","Guillen Abrego","Abreu Valencia","545.978.670","Calleja María Cristina","Ramal Isabel la Católica 9","Querétaro","60035"
"Horacio Prado Elizondo Vázquez Ortiz","Travesía Damián Ulloa 6 Edificio 1","27","EQG3BXYWVWI6AENSIX","7NW8JMCWIEOV9TZHK0","510","1","Prado Elizondo","Vázquez Ortiz","5997-457-271","Masía Avena","Calle César Velázquez 3810","Querétaro","32790"
"Gustavo Gracia de Casillas Miramontes Guerra","Extramuros Luisa Leal 560 Esc. 803","82","WUMKEKLK13EOCHYALB","CLTKY1DUSEAPITPXHA","520","1","Gracia de Casillas","Miramontes Guerra","521.399.527","Gran Subida Miguel Zamudio","Prolongación Polotitlan 56","Querétaro","79484"
"Claudia Sarabia Amaya Zamarripa Delacrúz","Puerta Pilar Quezada 89 Puerta 863","30","6GNYINGGDUCW4JUX1Y","YMMW167BU42CPMY7CX","532","1","Sarabia Amaya","Zamarripa Delacrúz","5324-295-029","Caserio Carlota Zamarripa","Monte Abigail, 8","Querétaro","11617"
"Mauricio Mateo Quinta Quintero Trejo","Rincón Repúplica de Uruguay 381 Esc. 644","86","ZOK4FUNXKZFHM2YWXX","X1VJNTKT6IRKJUGNQ0","508","1","Mateo Quinta","Quintero Trejo","538.858.701","Calle Juárez","Parque Repúplica de Argentina, 2","Querétaro","23439"
"Elena Macías Lerma Rosales Loya","Vía Pública Donceles 1 Esc. 700","19","FB1DNKNDNJ8DM5EZ4O","2AP4B5G9F1TOOYAJM5","543","1","Macías Lerma","Rosales Loya","581.555.405","Municipio Alejandro Galindo","Salida Zapata, 25","Querétaro","72560"
"Andrea Valenzuela Merino Alvarado Lucero","Salida Emilia Roldán s/n. Puerta 526","44","EOWRFGOERWU7VDJFJN","ZDQYFW2Z1VLROZR8QC","548","1","Valenzuela Merino","Alvarado Lucero","5099-997-928","Jardines Soledad Armas","Bajada Flor Marina 111","Querétaro","14895"
"Cristina Ochoa Curiel Linares Díaz","Extramuros Teodoro s/n. Esc. 241","34","EVMBBAFLXVYHIDOFBL","6QMYHJE4CB5KL3NGT8","535","1","Ochoa Curiel","Linares Díaz","502.086.130","Senda Benito","Ferrocarril Polotitlan 32","Querétaro","65173"
"Carolina Pelayo de Lozada Valladares Valdez","Plaza Rosario 807 Esc. 707","55","E9OKNK91L8EPUQICPD","I90APDOK0NFR1EHOIX","510","1","Pelayo de Lozada","Valladares Valdez","572.524.853","Rua José Antonio Karem","Municipio Naranjo 7470","Querétaro","24847"
"Araceli Limón Casares Córdova Barajas","Glorieta Eje 6 3 Edificio 7","19","UDRFTJRSHWJGRLZTZA","23V2JOM3FONGRAT8P7","546","1","Limón Casares","Córdova Barajas","500.568.966","Terrenos La viga","Sector Renata Sevilla, 9","Querétaro","35218"
"Gabriela Castellanos Carbajal Zayas Nevárez","Camino Avena 2 Edificio 5","26","B2OTCHLOAB41DYW2BD","YZW7XDO211KU2Z0MFD","507","1","Castellanos Carbajal","Zayas Nevárez","5049-288-885","Barranco María Elena","Extrarradio María Elena Verdugo 3728","Querétaro","55163"
"César Serna Feliciano Oquendo Romo","Extramuros Polotitlan 7683 Esc. 663","89","6SIRSICYFNPOAF80XD","COLBDJQYTX85ORT91H","510","1","Serna Feliciano","Oquendo Romo","5146-896-320","Municipio Eje Central","Puerta Kimberly, 58","Querétaro","55081"
"Israel Cuellar de Ceballos Rico de Ojeda","Rambla Zoe Bahena, 97 Edificio 4","63","BFBCIDB3XRIHBA89NK","HGDTNL8EFUXZUKIXTQ","508","1","Cuellar de Ceballos","Rico de Ojeda","506 721 398","Salida Armando Henríquez","Riera Carolina, 24","Querétaro","33428"
"Lorena Mejía Zavala Yunta Zúñiga","Sector Repúplica de Uruguay, 57 Esc. 436","83","L1SSHTGDJ2ETWTLTER","Q0CMEGEVDRXOLWMEGA","544","1","Mejía Zavala","Yunta Zúñiga","5550-425-880","Sector Repúplica de Chile","Colonia José María 62","Querétaro","12869"
